統編,抬頭,總計,產品編號,含稅價
50784689,阿爸手工餅,1,1,1
55199602,呷茶,2,1,2
82607650,森及茶中美店(中鼎),3,1,3
82017676,森及茶新竹店,4,1,4
26422390,初嘛,5,1,5
72509700,遊戲方塊PLAY食堂,6,1,6
82431956,滿月沙鹿店,7,1,7
82420901,滿月員林店,8,1,8
72527995,滿月青海店,9,1,9
82413401,滿月秀水店,10,1,10
82809543,滿月市府店,11,1,11
82451848,滿月黎明店,12,1,12
63181303,"鬍子茶 Plus 勤美旗艦",13,1,13
82739364,滿月鳳山店,14,1,14
82744922,滿月三民店,15,1,15
82419545,滿月鹿港店,16,1,16
82616222,"滿月軍功店(中鼎)",17,1,17
82584586,滿月彰化民族店(中鼎),18,1,18
83925289,吉品涮涮鍋(德利叔叔),19,1,19
82826043,敝姓鍋精明店,20,1,20
82610199,敝姓鍋向心南店,21,1,21
72459737,江技舊記,22,1,22
82307871,茶大叔三重力行店,23,1,23
62601003,哲生食品有限公司,24,1,24
50621428,茶大叔桃園店(中鼎),25,1,25
82622174,萊J朝富店,26,1,26
53722033,babyco可小孩,27,1,27
72981122,吃個鍋,28,1,28
85048770,進發家勤美店,29,1,29
85048862,進發家逢甲店,30,1,30
85085985,進發家大墩店,31,1,31
85238770,進發家蘆竹店,32,1,32
85165137,進發家中和店,33,1,33
85058354,進發家大安店,34,1,34
72322233,五花肉韓式燒肉專賣,35,1,35
82582779,進發家鹿港店,36,1,36
85250154,進發家桃園店,37,1,37
82622293,進發家大雅店(中鼎),38,1,38
50574500,滷底撈三重中山店,39,1,39
82163277,舒油頭府中店,40,1,40
82968247,舒油頭北醫莊敬店(中鼎),41,1,41
52206117,舒油頭新店建國店(中鼎),42,1,42
82616193,舒油頭台中沙鹿店(中鼎),43,1,43
50554912,舒油頭竹北三民店(中鼎),44,1,44
81577252,舒油頭永和樂華店(中鼎),45,1,45
50752504,LIKE17,46,1,46
85002795,舒油頭台北延山店(中鼎),47,1,47
85177865,舒油頭三重五華店(中鼎),48,1,48
76327012,思鄉病台北安居店(中鼎),49,1,49
80062843,永舟電通有限公司(中鼎),50,1,50
53626995,山東餃子麵館(中鼎),51,1,51
85014764,采采食茶(中鼎),52,1,52
85129983,老官茶,53,1,53
61825342,富鼎旺,54,1,54
61956012,饕戶,55,1,55
72968606,約翰紅茶,56,1,56
72508245,森及茶員林員大店,57,1,57
